Iter          0 : 11011, Value : 91
Iter          0 : 11101, Value : 91
Iter          1 : 11111, Value : 72
Iter          2 : 11111, Value : 72
Iter          3 : 11111, Value : 72
Iter          4 : 11111, Value : 72
Iter          5 : 11111, Value : 72
Iter          6 : 11111, Value : 72
Iter          7 : 11111, Value : 72
Iter          8 : 11111, Value : 72
Iter          9 : 11111, Value : 72
Iter         10 : 11111, Value : 72
Iter         11 : 11111, Value : 72
Iter         12 : 11111, Value : 72
Iter         13 : 11111, Value : 72
Iter         14 : 11111, Value : 72
Iter         15 : 11111, Value : 72
Iter         16 : 11111, Value : 72
Iter         17 : 11111, Value : 72
Iter         18 : 11111, Value : 72
Iter         19 : 11111, Value : 72
Iter         20 : 11111, Value : 72
Iter         21 : 11111, Value : 72
Iter         22 : 11111, Value : 72
Iter         23 : 11111, Value : 72
Iter         24 : 11111, Value : 72
Iter         25 : 11111, Value : 72
Iter         26 : 11111, Value : 72
Iter         27 : 11111, Value : 72
Iter         28 : 11111, Value : 72
Iter         29 : 11111, Value : 72
Iter         30 : 11111, Value : 72
Iter         31 : 11111, Value : 72
Iter         32 : 11111, Value : 72
Iter         33 : 11111, Value : 72
Iter         34 : 11111, Value : 72
Iter         35 : 11111, Value : 72
Iter         36 : 11111, Value : 72
Iter         37 : 11111, Value : 72
Iter         38 : 11111, Value : 72
Iter         39 : 11111, Value : 72
Iter         40 : 11111, Value : 72
Iter         41 : 11111, Value : 72
Iter         42 : 11111, Value : 72
Iter         43 : 11111, Value : 72
Iter         44 : 11111, Value : 72
Iter         45 : 11111, Value : 72
Iter         46 : 11111, Value : 72
Iter         47 : 11111, Value : 72
Iter         48 : 11111, Value : 72
Iter         49 : 11111, Value : 72
Iter         50 : 11111, Value : 72
Iter         51 : 11111, Value : 72
Iter         52 : 11111, Value : 72
Iter         53 : 11111, Value : 72
Iter         54 : 11111, Value : 72
Iter         55 : 11111, Value : 72
Iter         56 : 11111, Value : 72
Iter         57 : 11111, Value : 72
Iter         58 : 11111, Value : 72
Iter         59 : 11111, Value : 72
Iter         60 : 11111, Value : 72
Iter         61 : 11111, Value : 72
Iter         62 : 11111, Value : 72
Iter         63 : 11111, Value : 72
Iter         64 : 11111, Value : 72
Iter         65 : 11111, Value : 72
Iter         66 : 11111, Value : 72
Iter         67 : 11111, Value : 72
Iter         68 : 11111, Value : 72
Iter         69 : 11111, Value : 72
